epoch,accuracy,loss,val_accuracy,val_loss
0,1.0,0.03364486247301102,1.0,0.05264325812458992
1,0.9972144961357117,0.016198650002479553,1.0,0.051467347890138626
2,1.0,0.009403534233570099,1.0,0.04145783931016922
3,1.0,0.0071003856137394905,1.0,0.03057161532342434
4,1.0,0.004837172571569681,1.0,0.024051707237958908
