epoch,accuracy,loss,val_accuracy,val_loss
0,0.23676879703998566,2.403515338897705,0.5,1.4712473154067993
1,0.7298049926757812,0.9123141765594482,0.925000011920929,0.6068339347839355
2,0.9331476092338562,0.38203948736190796,1.0,0.31470489501953125
3,0.9721448421478271,0.19451606273651123,0.9750000238418579,0.2142120897769928
4,0.9832869172096252,0.13440661132335663,0.9750000238418579,0.16356654465198517
5,0.9972144961357117,0.08536306768655777,1.0,0.1352071464061737
6,0.9944289922714233,0.0808829516172409,1.0,0.11878237873315811
7,0.9972144961357117,0.06114022433757782,1.0,0.10881675779819489
8,0.9972144961357117,0.051248762756586075,1.0,0.09837178140878677
9,1.0,0.04388280212879181,1.0,0.09312037378549576
